pair,optimized_z_entry,optimized_z_exit,total_return,sharpe_ratio,max_drawdown,win_rate,num_trades
LINK-ETH,2.5,1.5,0.07714906352081985,5.0153978192719615,-0.01789861869950361,0.47619047619047616,42
DOT-BTC,3.0,1.5,0.06355105240851255,7.413182870905275,-0.0010000000000000373,0.6666666666666666,9
ADA-BTC,3.0,0.1,0.004065128918159022,0.38238222865314614,-0.03400176835993731,0.5909090909090909,44
