timestamp,DOT_close,BTC_close
2025-08-24 17:00:00,4.1388,114375.7
2025-08-24 18:00:00,4.2503,114534.8
2025-08-24 19:00:00,4.1308,112559.2
2025-08-24 20:00:00,4.1221,112704.3
2025-08-24 21:00:00,4.1222,112969.5
2025-08-24 22:00:00,4.1134,113401.9
2025-08-24 23:00:00,4.107,113456.1
2025-08-25 00:00:00,4.0638,112604.3
2025-08-25 01:00:00,4.0905,113049.7
2025-08-25 02:00:00,4.1303,113397.5
2025-08-25 03:00:00,4.1002,112926.9
2025-08-25 04:00:00,4.0614,112695.9
2025-08-25 05:00:00,4.0327,112372.7
2025-08-25 06:00:00,3.97,111898.7
2025-08-25 07:00:00,3.9042,111450.1
2025-08-25 08:00:00,3.9333,111461.3
2025-08-25 09:00:00,3.9178,111767.3
2025-08-25 10:00:00,3.8677,110959.2
2025-08-25 11:00:00,3.8966,111230.1
2025-08-25 12:00:00,3.9059,111586.2
2025-08-25 13:00:00,3.8936,111462.5
2025-08-25 14:00:00,3.903,112228.0
2025-08-25 15:00:00,3.8672,112204.0
2025-08-25 16:00:00,3.8711,112545.1
2025-08-25 17:00:00,3.8439,112425.1
2025-08-25 18:00:00,3.8455,112399.1
2025-08-25 19:00:00,3.7777,110673.2
2025-08-25 20:00:00,3.7062,109580.1
2025-08-25 21:00:00,3.7184,109968.5
2025-08-25 22:00:00,3.7401,110178.1
2025-08-25 23:00:00,3.7323,110144.9
2025-08-26 00:00:00,3.7388,109152.2
2025-08-26 01:00:00,3.7906,109883.0
2025-08-26 02:00:00,3.7783,109750.1
2025-08-26 03:00:00,3.7899,109883.0
2025-08-26 04:00:00,3.8017,110100.0
2025-08-26 05:00:00,3.8018,110237.6
2025-08-26 06:00:00,3.7675,109998.4
2025-08-26 07:00:00,3.7961,110315.0
2025-08-26 08:00:00,3.7771,110148.9
2025-08-26 09:00:00,3.7811,110106.0
2025-08-26 10:00:00,3.8001,110219.2
2025-08-26 11:00:00,3.7807,109842.3
2025-08-26 12:00:00,3.822,110184.6
2025-08-26 13:00:00,3.8049,110045.1
2025-08-26 14:00:00,3.8411,110387.6
2025-08-26 15:00:00,3.8126,109670.1
2025-08-26 16:00:00,3.8427,110150.3
2025-08-26 17:00:00,3.8286,109944.9
2025-08-26 18:00:00,3.8591,110695.0
2025-08-26 19:00:00,3.9095,111128.4
2025-08-26 20:00:00,3.8953,111345.4
2025-08-26 21:00:00,3.9049,111550.8
2025-08-26 22:00:00,3.8935,111888.0
2025-08-26 23:00:00,3.8872,111829.3
2025-08-27 00:00:00,3.8676,111351.1
2025-08-27 01:00:00,3.8635,111270.0
2025-08-27 02:00:00,3.8755,111180.1
2025-08-27 03:00:00,3.8964,111462.6
2025-08-27 04:00:00,3.9179,111582.5
2025-08-27 05:00:00,3.8943,111374.7
2025-08-27 06:00:00,3.8797,111016.1
2025-08-27 07:00:00,3.8459,110674.4
2025-08-27 08:00:00,3.8588,110730.8
2025-08-27 09:00:00,3.8681,110815.1
2025-08-27 10:00:00,3.8647,111036.5
2025-08-27 11:00:00,3.8824,111340.0
2025-08-27 12:00:00,3.8737,111324.8
2025-08-27 13:00:00,3.8731,111508.3
2025-08-27 14:00:00,3.9053,111793.2
2025-08-27 15:00:00,3.9075,112022.4
2025-08-27 16:00:00,3.8935,112155.3
2025-08-27 17:00:00,3.905,112337.9
2025-08-27 18:00:00,3.8849,112000.0
2025-08-27 19:00:00,3.8691,112060.2
2025-08-27 20:00:00,3.9008,112382.0
2025-08-27 21:00:00,3.8609,111442.4
2025-08-27 22:00:00,3.8587,111449.8
2025-08-27 23:00:00,3.8293,111268.6
2025-08-28 00:00:00,3.8353,111340.5
2025-08-28 01:00:00,3.8665,111650.8
2025-08-28 02:00:00,3.8464,111507.8
2025-08-28 03:00:00,3.8729,111986.3
2025-08-28 04:00:00,3.915,112971.9
2025-08-28 05:00:00,3.9338,112848.7
2025-08-28 06:00:00,3.9279,113200.0
2025-08-28 07:00:00,3.928,113199.9
2025-08-28 08:00:00,3.9594,113321.4
2025-08-28 09:00:00,3.9594,113321.4
2025-08-28 10:00:00,3.9617,113103.6
2025-08-28 11:00:00,3.96,112924.6
2025-08-28 12:00:00,3.9692,113300.0
2025-08-28 13:00:00,3.9685,112749.8
2025-08-28 14:00:00,4.0059,113182.2
2025-08-28 15:00:00,3.9553,112650.0
2025-08-28 16:00:00,3.9008,112337.6
2025-08-28 17:00:00,3.9282,112446.4
2025-08-28 18:00:00,3.9335,112393.6
2025-08-28 19:00:00,3.8841,111900.1
2025-08-28 20:00:00,3.912,111941.2
2025-08-28 21:00:00,3.9402,112048.0
2025-08-28 22:00:00,3.9988,112399.9
2025-08-28 23:00:00,3.979,112563.7
2025-08-29 00:00:00,3.9724,112203.4
2025-08-29 01:00:00,3.9356,111537.5
2025-08-29 02:00:00,3.9469,111485.2
2025-08-29 03:00:00,3.954,111778.0
2025-08-29 04:00:00,3.9263,111512.2
2025-08-29 05:00:00,3.9227,111310.9
2025-08-29 06:00:00,3.9111,111292.5
2025-08-29 07:00:00,3.8134,110012.6
2025-08-29 08:00:00,3.7739,109632.4
2025-08-29 09:00:00,3.8022,109838.7
2025-08-29 10:00:00,3.8041,110012.6
2025-08-29 11:00:00,3.8271,110091.0
2025-08-29 12:00:00,3.8525,110734.4
2025-08-29 13:00:00,3.8084,109091.4
2025-08-29 14:00:00,3.7604,108197.8
2025-08-29 15:00:00,3.7742,108437.4
2025-08-29 16:00:00,3.7742,108762.6
2025-08-29 17:00:00,3.7553,108485.1
2025-08-29 18:00:00,3.7291,108167.3
2025-08-29 19:00:00,3.7665,108225.1
2025-08-29 20:00:00,3.7422,107788.0
2025-08-29 21:00:00,3.7779,108411.0
2025-08-29 22:00:00,3.7631,108350.0
2025-08-29 23:00:00,3.7745,108400.1
2025-08-30 00:00:00,3.7638,108298.2
2025-08-30 01:00:00,3.7168,107389.7
2025-08-30 02:00:00,3.7697,107832.3
2025-08-30 03:00:00,3.8216,108387.4
2025-08-30 04:00:00,3.7971,108486.5
2025-08-30 05:00:00,3.808,108362.6
2025-08-30 06:00:00,3.8,108281.2
2025-08-30 07:00:00,3.8085,108499.9
