timestamp,DOT_close,LINK_close
2025-08-24 17:00:00,4.1388,26.01156
2025-08-24 18:00:00,4.2503,26.38219
2025-08-24 19:00:00,4.1308,26.05
2025-08-24 20:00:00,4.1221,25.87423
2025-08-24 21:00:00,4.1222,26.10513
2025-08-24 22:00:00,4.1134,26.07227
2025-08-24 23:00:00,4.107,25.80993
2025-08-25 00:00:00,4.0638,25.48001
2025-08-25 01:00:00,4.0905,26.11194
2025-08-25 02:00:00,4.1303,26.13414
2025-08-25 03:00:00,4.1002,25.90982
2025-08-25 04:00:00,4.0614,25.79064
2025-08-25 05:00:00,4.0327,25.85275
2025-08-25 06:00:00,3.97,25.559
2025-08-25 07:00:00,3.9042,24.94773
2025-08-25 08:00:00,3.9333,25.1
2025-08-25 09:00:00,3.9178,24.93519
2025-08-25 10:00:00,3.8677,24.38904
2025-08-25 11:00:00,3.8966,24.584
2025-08-25 12:00:00,3.9059,24.4947
2025-08-25 13:00:00,3.8936,24.41974
2025-08-25 14:00:00,3.903,24.58604
2025-08-25 15:00:00,3.8672,24.41478
2025-08-25 16:00:00,3.8711,24.50995
2025-08-25 17:00:00,3.8439,24.38373
2025-08-25 18:00:00,3.8455,24.24496
2025-08-25 19:00:00,3.7777,23.66059
2025-08-25 20:00:00,3.7062,23.2
2025-08-25 21:00:00,3.7184,23.15408
2025-08-25 22:00:00,3.7401,23.49304
2025-08-25 23:00:00,3.7323,23.39824
2025-08-26 00:00:00,3.7388,23.25325
2025-08-26 01:00:00,3.7906,23.48225
2025-08-26 02:00:00,3.7783,23.26275
2025-08-26 03:00:00,3.7899,23.16901
2025-08-26 04:00:00,3.8017,23.35007
2025-08-26 05:00:00,3.8018,23.27383
2025-08-26 06:00:00,3.7675,23.03
2025-08-26 07:00:00,3.7961,23.15576
2025-08-26 08:00:00,3.7771,23.11351
2025-08-26 09:00:00,3.7811,22.97964
2025-08-26 10:00:00,3.8001,23.51992
2025-08-26 11:00:00,3.7807,23.53239
2025-08-26 12:00:00,3.822,24.13972
2025-08-26 13:00:00,3.8049,24.00188
2025-08-26 14:00:00,3.8411,24.35629
2025-08-26 15:00:00,3.8126,24.17139
2025-08-26 16:00:00,3.8427,24.3362
2025-08-26 17:00:00,3.8286,24.07811
2025-08-26 18:00:00,3.8591,24.11855
2025-08-26 19:00:00,3.9095,24.3485
2025-08-26 20:00:00,3.8953,24.30363
2025-08-26 21:00:00,3.9049,24.50599
2025-08-26 22:00:00,3.8935,24.60927
2025-08-26 23:00:00,3.8872,24.37833
2025-08-27 00:00:00,3.8676,24.14097
2025-08-27 01:00:00,3.8635,24.1111
2025-08-27 02:00:00,3.8755,24.18001
2025-08-27 03:00:00,3.8964,24.37573
2025-08-27 04:00:00,3.9179,24.485
2025-08-27 05:00:00,3.8943,24.23338
2025-08-27 06:00:00,3.8797,24.06331
2025-08-27 07:00:00,3.8459,24.12562
2025-08-27 08:00:00,3.8588,24.24427
2025-08-27 09:00:00,3.8681,24.4953
2025-08-27 10:00:00,3.8647,24.36
2025-08-27 11:00:00,3.8824,24.36577
2025-08-27 12:00:00,3.8737,24.21992
2025-08-27 13:00:00,3.8731,24.13362
2025-08-27 14:00:00,3.9053,24.32092
2025-08-27 15:00:00,3.9075,24.30455
2025-08-27 16:00:00,3.8935,24.37448
2025-08-27 17:00:00,3.905,24.49998
2025-08-27 18:00:00,3.8849,24.31793
2025-08-27 19:00:00,3.8691,24.16713
2025-08-27 20:00:00,3.9008,24.4008
2025-08-27 21:00:00,3.8609,23.95761
2025-08-27 22:00:00,3.8587,23.85534
2025-08-27 23:00:00,3.8293,23.76051
2025-08-28 00:00:00,3.8353,23.7217
2025-08-28 01:00:00,3.8665,23.82105
2025-08-28 02:00:00,3.8464,23.7077
2025-08-28 03:00:00,3.8729,23.90599
2025-08-28 04:00:00,3.915,24.22407
2025-08-28 05:00:00,3.9338,24.22143
2025-08-28 06:00:00,3.9279,24.24988
2025-08-28 07:00:00,3.928,24.24988
2025-08-28 08:00:00,3.9594,24.43
2025-08-28 09:00:00,3.9594,24.43
2025-08-28 10:00:00,3.9617,23.81391
2025-08-28 11:00:00,3.96,23.87175
2025-08-28 12:00:00,3.9692,24.00109
2025-08-28 13:00:00,3.9685,25.80883
2025-08-28 14:00:00,4.0059,25.52412
2025-08-28 15:00:00,3.9553,24.78582
2025-08-28 16:00:00,3.9008,24.73803
2025-08-28 17:00:00,3.9282,24.8376
2025-08-28 18:00:00,3.9335,24.98895
2025-08-28 19:00:00,3.8841,24.5025
2025-08-28 20:00:00,3.912,24.57182
2025-08-28 21:00:00,3.9402,24.8861
2025-08-28 22:00:00,3.9988,25.2534
2025-08-28 23:00:00,3.979,25.20181
2025-08-29 00:00:00,3.9724,24.67728
2025-08-29 01:00:00,3.9356,24.32025
2025-08-29 02:00:00,3.9469,24.28821
2025-08-29 03:00:00,3.954,24.24912
2025-08-29 04:00:00,3.9263,24.10933
2025-08-29 05:00:00,3.9227,24.16049
2025-08-29 06:00:00,3.9111,23.93847
2025-08-29 07:00:00,3.8134,23.5486
2025-08-29 08:00:00,3.7739,23.38358
2025-08-29 09:00:00,3.8022,23.37407
2025-08-29 10:00:00,3.8041,23.46047
2025-08-29 11:00:00,3.8271,23.43474
2025-08-29 12:00:00,3.8525,23.72824
2025-08-29 13:00:00,3.8084,23.31743
2025-08-29 14:00:00,3.7604,23.37946
2025-08-29 15:00:00,3.7742,23.42374
2025-08-29 16:00:00,3.7742,23.42894
2025-08-29 17:00:00,3.7553,23.40061
2025-08-29 18:00:00,3.7291,23.15749
2025-08-29 19:00:00,3.7665,23.36047
2025-08-29 20:00:00,3.7422,23.27854
2025-08-29 21:00:00,3.7779,23.2879
2025-08-29 22:00:00,3.7631,23.40776
2025-08-29 23:00:00,3.7745,23.42458
2025-08-30 00:00:00,3.7638,23.3068
2025-08-30 01:00:00,3.7168,22.88568
2025-08-30 02:00:00,3.7697,22.95447
2025-08-30 03:00:00,3.8216,23.24479
2025-08-30 04:00:00,3.7971,23.27257
2025-08-30 05:00:00,3.808,23.31002
2025-08-30 06:00:00,3.8,23.4777
2025-08-30 07:00:00,3.8085,23.401
2025-08-30 08:00:00,3.7983,23.33
2025-08-30 09:00:00,3.7838,23.38014
2025-08-30 10:00:00,3.7896,23.39658
2025-08-30 11:00:00,3.7892,23.38601
2025-08-30 12:00:00,3.7674,23.14006
2025-08-30 13:00:00,3.7565,23.13013
2025-08-30 14:00:00,3.7632,23.20753
2025-08-30 15:00:00,3.7834,23.39577
2025-08-30 16:00:00,3.7603,23.37085
2025-08-30 17:00:00,3.7712,23.38292
2025-08-30 18:00:00,3.7729,23.35296
2025-08-30 19:00:00,3.7909,23.34544
2025-08-30 20:00:00,3.7907,23.35265
2025-08-30 21:00:00,3.7943,23.42431
2025-08-30 22:00:00,3.7999,23.40001
2025-08-30 23:00:00,3.8105,23.48799
2025-08-31 00:00:00,3.8525,23.78161
2025-08-31 01:00:00,3.8728,23.77243
2025-08-31 02:00:00,3.8551,23.75699
2025-08-31 03:00:00,3.8581,23.88701
2025-08-31 04:00:00,3.831,23.81061
2025-08-31 05:00:00,3.8195,23.77883
2025-08-31 06:00:00,3.8032,23.70679
2025-08-31 07:00:00,3.8028,23.71614
2025-08-31 08:00:00,3.8321,23.87778
2025-08-31 09:00:00,3.815,23.73811
2025-08-31 10:00:00,3.7949,23.66604
2025-08-31 11:00:00,3.8107,23.77622
2025-08-31 12:00:00,3.82,24.01722
2025-08-31 13:00:00,3.7987,23.89386
2025-08-31 14:00:00,3.7907,23.65952
2025-08-31 15:00:00,3.8164,23.78908
2025-08-31 16:00:00,3.8011,23.71277
2025-08-31 17:00:00,3.7961,23.75467
2025-08-31 18:00:00,3.8247,23.84073
2025-08-31 19:00:00,3.799,23.65505
2025-08-31 20:00:00,3.8011,23.64662
2025-08-31 21:00:00,3.8069,23.69
2025-08-31 22:00:00,3.7741,23.48255
2025-08-31 23:00:00,3.7417,23.19395
2025-09-01 00:00:00,3.7314,23.16254
2025-09-01 01:00:00,3.7327,23.26413
2025-09-01 02:00:00,3.6861,23.07743
