timestamp,DOT_close,ADA_close
2025-08-24 17:00:00,4.1388,0.922453
2025-08-24 18:00:00,4.2503,0.949089
2025-08-24 19:00:00,4.1308,0.921637
2025-08-24 20:00:00,4.1221,0.914372
2025-08-24 21:00:00,4.1222,0.921187
2025-08-24 22:00:00,4.1134,0.912828
2025-08-24 23:00:00,4.107,0.908492
2025-08-25 00:00:00,4.0638,0.895
2025-08-25 01:00:00,4.0905,0.910474
2025-08-25 02:00:00,4.1303,0.922231
2025-08-25 03:00:00,4.1002,0.919198
2025-08-25 04:00:00,4.0614,0.91304
2025-08-25 05:00:00,4.0327,0.897521
2025-08-25 06:00:00,3.97,0.8823
2025-08-25 07:00:00,3.9042,0.871653
2025-08-25 08:00:00,3.9333,0.872738
2025-08-25 09:00:00,3.9178,0.871649
2025-08-25 10:00:00,3.8677,0.856822
2025-08-25 11:00:00,3.8966,0.866599
2025-08-25 12:00:00,3.9059,0.870533
2025-08-25 13:00:00,3.8936,0.863489
2025-08-25 14:00:00,3.903,0.873333
2025-08-25 15:00:00,3.8672,0.86559
2025-08-25 16:00:00,3.8711,0.869422
2025-08-25 17:00:00,3.8439,0.87108
2025-08-25 18:00:00,3.8455,0.870013
2025-08-25 19:00:00,3.7777,0.85026
2025-08-25 20:00:00,3.7062,0.831839
2025-08-25 21:00:00,3.7184,0.833349
2025-08-25 22:00:00,3.7401,0.83777
2025-08-25 23:00:00,3.7323,0.836306
2025-08-26 00:00:00,3.7388,0.833022
2025-08-26 01:00:00,3.7906,0.8415
2025-08-26 02:00:00,3.7783,0.836686
2025-08-26 03:00:00,3.7899,0.83603
2025-08-26 04:00:00,3.8017,0.845377
2025-08-26 05:00:00,3.8018,0.840541
2025-08-26 06:00:00,3.7675,0.838082
2025-08-26 07:00:00,3.7961,0.840893
2025-08-26 08:00:00,3.7771,0.839399
2025-08-26 09:00:00,3.7811,0.840399
2025-08-26 10:00:00,3.8001,0.842865
2025-08-26 11:00:00,3.7807,0.838144
2025-08-26 12:00:00,3.822,0.850174
2025-08-26 13:00:00,3.8049,0.84541
2025-08-26 14:00:00,3.8411,0.855314
2025-08-26 15:00:00,3.8126,0.849042
2025-08-26 16:00:00,3.8427,0.859541
2025-08-26 17:00:00,3.8286,0.858201
2025-08-26 18:00:00,3.8591,0.863401
2025-08-26 19:00:00,3.9095,0.872849
2025-08-26 20:00:00,3.8953,0.867904
2025-08-26 21:00:00,3.9049,0.869697
2025-08-26 22:00:00,3.8935,0.86899
2025-08-26 23:00:00,3.8872,0.866194
2025-08-27 00:00:00,3.8676,0.860024
2025-08-27 01:00:00,3.8635,0.862498
2025-08-27 02:00:00,3.8755,0.863652
2025-08-27 03:00:00,3.8964,0.869427
2025-08-27 04:00:00,3.9179,0.87325
2025-08-27 05:00:00,3.8943,0.8665
2025-08-27 06:00:00,3.8797,0.860064
2025-08-27 07:00:00,3.8459,0.855819
2025-08-27 08:00:00,3.8588,0.861399
2025-08-27 09:00:00,3.8681,0.860539
2025-08-27 10:00:00,3.8647,0.858942
2025-08-27 11:00:00,3.8824,0.865899
2025-08-27 12:00:00,3.8737,0.865449
2025-08-27 13:00:00,3.8731,0.862484
2025-08-27 14:00:00,3.9053,0.869083
2025-08-27 15:00:00,3.9075,0.872712
2025-08-27 16:00:00,3.8935,0.868813
2025-08-27 17:00:00,3.905,0.871633
2025-08-27 18:00:00,3.8849,0.8678
2025-08-27 19:00:00,3.8691,0.862368
2025-08-27 20:00:00,3.9008,0.866658
2025-08-27 21:00:00,3.8609,0.855193
2025-08-27 22:00:00,3.8587,0.855025
2025-08-27 23:00:00,3.8293,0.849829
2025-08-28 00:00:00,3.8353,0.850292
2025-08-28 01:00:00,3.8665,0.858535
2025-08-28 02:00:00,3.8464,0.852901
2025-08-28 03:00:00,3.8729,0.859164
2025-08-28 04:00:00,3.915,0.871385
2025-08-28 05:00:00,3.9338,0.87
2025-08-28 06:00:00,3.9279,0.87031
2025-08-28 07:00:00,3.928,0.870311
2025-08-28 08:00:00,3.9594,0.879393
