timestamp,DOT_close,ETH_close
2025-08-24 17:00:00,4.1388,4906.06
2025-08-24 18:00:00,4.2503,4934.41
2025-08-24 19:00:00,4.1308,4809.14
2025-08-24 20:00:00,4.1221,4786.35
2025-08-24 21:00:00,4.1222,4784.46
2025-08-24 22:00:00,4.1134,4779.87
2025-08-24 23:00:00,4.107,4779.18
2025-08-25 00:00:00,4.0638,4701.03
2025-08-25 01:00:00,4.0905,4730.8
2025-08-25 02:00:00,4.1303,4764.29
2025-08-25 03:00:00,4.1002,4725.17
2025-08-25 04:00:00,4.0614,4717.08
2025-08-25 05:00:00,4.0327,4706.01
2025-08-25 06:00:00,3.97,4628.84
2025-08-25 07:00:00,3.9042,4590.49
2025-08-25 08:00:00,3.9333,4605.0
2025-08-25 09:00:00,3.9178,4610.0
2025-08-25 10:00:00,3.8677,4543.43
2025-08-25 11:00:00,3.8966,4598.8
2025-08-25 12:00:00,3.9059,4647.32
2025-08-25 13:00:00,3.8936,4627.48
2025-08-25 14:00:00,3.903,4660.55
2025-08-25 15:00:00,3.8672,4613.17
2025-08-25 16:00:00,3.8711,4600.0
2025-08-25 17:00:00,3.8439,4586.74
2025-08-25 18:00:00,3.8455,4575.0
2025-08-25 19:00:00,3.7777,4418.6
2025-08-25 20:00:00,3.7062,4355.0
2025-08-25 21:00:00,3.7184,4351.21
2025-08-25 22:00:00,3.7401,4393.74
2025-08-25 23:00:00,3.7323,4377.69
2025-08-26 00:00:00,3.7388,4332.54
2025-08-26 01:00:00,3.7906,4423.41
2025-08-26 02:00:00,3.7783,4397.67
2025-08-26 03:00:00,3.7899,4401.62
2025-08-26 04:00:00,3.8017,4435.31
2025-08-26 05:00:00,3.8018,4433.24
2025-08-26 06:00:00,3.7675,4415.38
2025-08-26 07:00:00,3.7961,4430.0
2025-08-26 08:00:00,3.7771,4420.65
2025-08-26 09:00:00,3.7811,4420.68
2025-08-26 10:00:00,3.8001,4441.73
2025-08-26 11:00:00,3.7807,4426.92
2025-08-26 12:00:00,3.822,4496.59
2025-08-26 13:00:00,3.8049,4477.8
2025-08-26 14:00:00,3.8411,4553.5
2025-08-26 15:00:00,3.8126,4522.24
2025-08-26 16:00:00,3.8427,4557.34
2025-08-26 17:00:00,3.8286,4518.72
2025-08-26 18:00:00,3.8591,4547.53
2025-08-26 19:00:00,3.9095,4595.89
2025-08-26 20:00:00,3.8953,4587.17
2025-08-26 21:00:00,3.9049,4605.64
2025-08-26 22:00:00,3.8935,4601.94
2025-08-26 23:00:00,3.8872,4600.83
2025-08-27 00:00:00,3.8676,4569.44
2025-08-27 01:00:00,3.8635,4563.79
2025-08-27 02:00:00,3.8755,4578.48
2025-08-27 03:00:00,3.8964,4604.15
2025-08-27 04:00:00,3.9179,4629.97
2025-08-27 05:00:00,3.8943,4611.73
2025-08-27 06:00:00,3.8797,4585.54
2025-08-27 07:00:00,3.8459,4577.4
2025-08-27 08:00:00,3.8588,4595.28
2025-08-27 09:00:00,3.8681,4590.0
2025-08-27 10:00:00,3.8647,4581.9
2025-08-27 11:00:00,3.8824,4610.0
2025-08-27 12:00:00,3.8737,4616.75
2025-08-27 13:00:00,3.8731,4595.66
2025-08-27 14:00:00,3.9053,4615.1
2025-08-27 15:00:00,3.9075,4658.51
2025-08-27 16:00:00,3.8935,4633.78
2025-08-27 17:00:00,3.905,4632.68
2025-08-27 18:00:00,3.8849,4592.18
2025-08-27 19:00:00,3.8691,4566.52
2025-08-27 20:00:00,3.9008,4594.79
2025-08-27 21:00:00,3.8609,4522.65
2025-08-27 22:00:00,3.8587,4523.63
2025-08-27 23:00:00,3.8293,4506.04
2025-08-28 00:00:00,3.8353,4493.58
2025-08-28 01:00:00,3.8665,4519.41
2025-08-28 02:00:00,3.8464,4512.48
2025-08-28 03:00:00,3.8729,4542.0
2025-08-28 04:00:00,3.915,4570.25
2025-08-28 05:00:00,3.9338,4570.35
2025-08-28 06:00:00,3.9279,4583.51
2025-08-28 07:00:00,3.928,4584.21
2025-08-28 08:00:00,3.9594,4624.1
2025-08-28 09:00:00,3.9594,4624.1
2025-08-28 10:00:00,3.9617,4609.92
2025-08-28 11:00:00,3.96,4593.78
2025-08-28 12:00:00,3.9692,4600.07
2025-08-28 13:00:00,3.9685,4572.78
2025-08-28 14:00:00,4.0059,4567.35
2025-08-28 15:00:00,3.9553,4504.72
2025-08-28 16:00:00,3.9008,4463.5
2025-08-28 17:00:00,3.9282,4489.78
2025-08-28 18:00:00,3.9335,4482.89
2025-08-28 19:00:00,3.8841,4438.43
2025-08-28 20:00:00,3.912,4457.01
2025-08-28 21:00:00,3.9402,4488.76
2025-08-28 22:00:00,3.9988,4506.69
2025-08-28 23:00:00,3.979,4512.18
2025-08-29 00:00:00,3.9724,4481.55
2025-08-29 01:00:00,3.9356,4457.99
2025-08-29 02:00:00,3.9469,4481.38
2025-08-29 03:00:00,3.954,4491.57
2025-08-29 04:00:00,3.9263,4477.22
2025-08-29 05:00:00,3.9227,4479.14
2025-08-29 06:00:00,3.9111,4456.35
2025-08-29 07:00:00,3.8134,4381.24
2025-08-29 08:00:00,3.7739,4336.01
2025-08-29 09:00:00,3.8022,4339.11
2025-08-29 10:00:00,3.8041,4347.18
2025-08-29 11:00:00,3.8271,4346.95
2025-08-29 12:00:00,3.8525,4405.0
2025-08-29 13:00:00,3.8084,4329.24
2025-08-29 14:00:00,3.7604,4280.24
2025-08-29 15:00:00,3.7742,4317.7
2025-08-29 16:00:00,3.7742,4337.07
2025-08-29 17:00:00,3.7553,4333.08
2025-08-29 18:00:00,3.7291,4314.93
2025-08-29 19:00:00,3.7665,4341.03
2025-08-29 20:00:00,3.7422,4320.46
2025-08-29 21:00:00,3.7779,4365.79
2025-08-29 22:00:00,3.7631,4364.0
2025-08-29 23:00:00,3.7745,4359.78
2025-08-30 00:00:00,3.7638,4342.26
2025-08-30 01:00:00,3.7168,4266.12
2025-08-30 02:00:00,3.7697,4305.83
2025-08-30 03:00:00,3.8216,4352.65
2025-08-30 04:00:00,3.7971,4352.8
2025-08-30 05:00:00,3.808,4377.54
2025-08-30 06:00:00,3.8,4398.99
2025-08-30 07:00:00,3.8085,4402.4
2025-08-30 08:00:00,3.7983,4399.57
2025-08-30 09:00:00,3.7838,4391.74
2025-08-30 10:00:00,3.7896,4390.27
2025-08-30 11:00:00,3.7892,4391.47
2025-08-30 12:00:00,3.7674,4365.8
2025-08-30 13:00:00,3.7565,4358.85
2025-08-30 14:00:00,3.7632,4364.02
2025-08-30 15:00:00,3.7834,4375.84
2025-08-30 16:00:00,3.7603,4361.99
