timestamp,LINK_close,BTC_close
2025-08-24 17:00:00,26.01156,114375.7
2025-08-24 18:00:00,26.38219,114534.8
2025-08-24 19:00:00,26.05,112559.2
2025-08-24 20:00:00,25.87423,112704.3
2025-08-24 21:00:00,26.10513,112969.5
2025-08-24 22:00:00,26.07227,113401.9
2025-08-24 23:00:00,25.80993,113456.1
2025-08-25 00:00:00,25.48001,112604.3
2025-08-25 01:00:00,26.11194,113049.7
2025-08-25 02:00:00,26.13414,113397.5
2025-08-25 03:00:00,25.90982,112926.9
2025-08-25 04:00:00,25.79064,112695.9
2025-08-25 05:00:00,25.85275,112372.7
2025-08-25 06:00:00,25.559,111898.7
2025-08-25 07:00:00,24.94773,111450.1
2025-08-25 08:00:00,25.1,111461.3
2025-08-25 09:00:00,24.93519,111767.3
2025-08-25 10:00:00,24.38904,110959.2
2025-08-25 11:00:00,24.584,111230.1
2025-08-25 12:00:00,24.4947,111586.2
2025-08-25 13:00:00,24.41974,111462.5
2025-08-25 14:00:00,24.58604,112228.0
2025-08-25 15:00:00,24.41478,112204.0
2025-08-25 16:00:00,24.50995,112545.1
2025-08-25 17:00:00,24.38373,112425.1
2025-08-25 18:00:00,24.24496,112399.1
2025-08-25 19:00:00,23.66059,110673.2
2025-08-25 20:00:00,23.2,109580.1
2025-08-25 21:00:00,23.15408,109968.5
2025-08-25 22:00:00,23.49304,110178.1
2025-08-25 23:00:00,23.39824,110144.9
2025-08-26 00:00:00,23.25325,109152.2
2025-08-26 01:00:00,23.48225,109883.0
2025-08-26 02:00:00,23.26275,109750.1
2025-08-26 03:00:00,23.16901,109883.0
2025-08-26 04:00:00,23.35007,110100.0
2025-08-26 05:00:00,23.27383,110237.6
2025-08-26 06:00:00,23.03,109998.4
2025-08-26 07:00:00,23.15576,110315.0
2025-08-26 08:00:00,23.11351,110148.9
2025-08-26 09:00:00,22.97964,110106.0
2025-08-26 10:00:00,23.51992,110219.2
2025-08-26 11:00:00,23.53239,109842.3
2025-08-26 12:00:00,24.13972,110184.6
2025-08-26 13:00:00,24.00188,110045.1
2025-08-26 14:00:00,24.35629,110387.6
2025-08-26 15:00:00,24.17139,109670.1
2025-08-26 16:00:00,24.3362,110150.3
2025-08-26 17:00:00,24.07811,109944.9
2025-08-26 18:00:00,24.11855,110695.0
2025-08-26 19:00:00,24.3485,111128.4
2025-08-26 20:00:00,24.30363,111345.4
2025-08-26 21:00:00,24.50599,111550.8
2025-08-26 22:00:00,24.60927,111888.0
2025-08-26 23:00:00,24.37833,111829.3
2025-08-27 00:00:00,24.14097,111351.1
2025-08-27 01:00:00,24.1111,111270.0
2025-08-27 02:00:00,24.18001,111180.1
2025-08-27 03:00:00,24.37573,111462.6
2025-08-27 04:00:00,24.485,111582.5
2025-08-27 05:00:00,24.23338,111374.7
2025-08-27 06:00:00,24.06331,111016.1
2025-08-27 07:00:00,24.12562,110674.4
2025-08-27 08:00:00,24.24427,110730.8
2025-08-27 09:00:00,24.4953,110815.1
2025-08-27 10:00:00,24.36,111036.5
2025-08-27 11:00:00,24.36577,111340.0
2025-08-27 12:00:00,24.21992,111324.8
2025-08-27 13:00:00,24.13362,111508.3
2025-08-27 14:00:00,24.32092,111793.2
2025-08-27 15:00:00,24.30455,112022.4
2025-08-27 16:00:00,24.37448,112155.3
2025-08-27 17:00:00,24.49998,112337.9
2025-08-27 18:00:00,24.31793,112000.0
2025-08-27 19:00:00,24.16713,112060.2
2025-08-27 20:00:00,24.4008,112382.0
2025-08-27 21:00:00,23.95761,111442.4
2025-08-27 22:00:00,23.85534,111449.8
2025-08-27 23:00:00,23.76051,111268.6
2025-08-28 00:00:00,23.7217,111340.5
2025-08-28 01:00:00,23.82105,111650.8
2025-08-28 02:00:00,23.7077,111507.8
2025-08-28 03:00:00,23.90599,111986.3
2025-08-28 04:00:00,24.22407,112971.9
2025-08-28 05:00:00,24.22143,112848.7
2025-08-28 06:00:00,24.24988,113200.0
2025-08-28 07:00:00,24.24988,113199.9
2025-08-28 08:00:00,24.43,113321.4
2025-08-28 09:00:00,24.43,113321.4
2025-08-28 10:00:00,23.81391,113103.6
2025-08-28 11:00:00,23.87175,112924.6
2025-08-28 12:00:00,24.00109,113300.0
