timestamp,ADA_close,LINK_close
2025-08-24 17:00:00,0.922453,26.01156
2025-08-24 18:00:00,0.949089,26.38219
2025-08-24 19:00:00,0.921637,26.05
2025-08-24 20:00:00,0.914372,25.87423
2025-08-24 21:00:00,0.921187,26.10513
2025-08-24 22:00:00,0.912828,26.07227
2025-08-24 23:00:00,0.908492,25.80993
2025-08-25 00:00:00,0.895,25.48001
2025-08-25 01:00:00,0.910474,26.11194
2025-08-25 02:00:00,0.922231,26.13414
2025-08-25 03:00:00,0.919198,25.90982
2025-08-25 04:00:00,0.91304,25.79064
2025-08-25 05:00:00,0.897521,25.85275
2025-08-25 06:00:00,0.8823,25.559
2025-08-25 07:00:00,0.871653,24.94773
2025-08-25 08:00:00,0.872738,25.1
2025-08-25 09:00:00,0.871649,24.93519
2025-08-25 10:00:00,0.856822,24.38904
2025-08-25 11:00:00,0.866599,24.584
2025-08-25 12:00:00,0.870533,24.4947
2025-08-25 13:00:00,0.863489,24.41974
2025-08-25 14:00:00,0.873333,24.58604
2025-08-25 15:00:00,0.86559,24.41478
2025-08-25 16:00:00,0.869422,24.50995
2025-08-25 17:00:00,0.87108,24.38373
2025-08-25 18:00:00,0.870013,24.24496
2025-08-25 19:00:00,0.85026,23.66059
2025-08-25 20:00:00,0.831839,23.2
2025-08-25 21:00:00,0.833349,23.15408
2025-08-25 22:00:00,0.83777,23.49304
2025-08-25 23:00:00,0.836306,23.39824
2025-08-26 00:00:00,0.833022,23.25325
2025-08-26 01:00:00,0.8415,23.48225
2025-08-26 02:00:00,0.836686,23.26275
2025-08-26 03:00:00,0.83603,23.16901
2025-08-26 04:00:00,0.845377,23.35007
2025-08-26 05:00:00,0.840541,23.27383
2025-08-26 06:00:00,0.838082,23.03
2025-08-26 07:00:00,0.840893,23.15576
2025-08-26 08:00:00,0.839399,23.11351
2025-08-26 09:00:00,0.840399,22.97964
2025-08-26 10:00:00,0.842865,23.51992
2025-08-26 11:00:00,0.838144,23.53239
2025-08-26 12:00:00,0.850174,24.13972
2025-08-26 13:00:00,0.84541,24.00188
2025-08-26 14:00:00,0.855314,24.35629
2025-08-26 15:00:00,0.849042,24.17139
2025-08-26 16:00:00,0.859541,24.3362
2025-08-26 17:00:00,0.858201,24.07811
2025-08-26 18:00:00,0.863401,24.11855
2025-08-26 19:00:00,0.872849,24.3485
2025-08-26 20:00:00,0.867904,24.30363
2025-08-26 21:00:00,0.869697,24.50599
2025-08-26 22:00:00,0.86899,24.60927
2025-08-26 23:00:00,0.866194,24.37833
2025-08-27 00:00:00,0.860024,24.14097
2025-08-27 01:00:00,0.862498,24.1111
2025-08-27 02:00:00,0.863652,24.18001
2025-08-27 03:00:00,0.869427,24.37573
2025-08-27 04:00:00,0.87325,24.485
2025-08-27 05:00:00,0.8665,24.23338
2025-08-27 06:00:00,0.860064,24.06331
2025-08-27 07:00:00,0.855819,24.12562
2025-08-27 08:00:00,0.861399,24.24427
2025-08-27 09:00:00,0.860539,24.4953
2025-08-27 10:00:00,0.858942,24.36
2025-08-27 11:00:00,0.865899,24.36577
2025-08-27 12:00:00,0.865449,24.21992
2025-08-27 13:00:00,0.862484,24.13362
2025-08-27 14:00:00,0.869083,24.32092
2025-08-27 15:00:00,0.872712,24.30455
2025-08-27 16:00:00,0.868813,24.37448
2025-08-27 17:00:00,0.871633,24.49998
2025-08-27 18:00:00,0.8678,24.31793
2025-08-27 19:00:00,0.862368,24.16713
2025-08-27 20:00:00,0.866658,24.4008
2025-08-27 21:00:00,0.855193,23.95761
2025-08-27 22:00:00,0.855025,23.85534
2025-08-27 23:00:00,0.849829,23.76051
2025-08-28 00:00:00,0.850292,23.7217
2025-08-28 01:00:00,0.858535,23.82105
